"Symbol","Range","Timestamp"
"DELTAMAGNT","2.6999999999999957","29-Jan-20"
"DEN","3.4499999999999957","29-Jan-20"
"DENORA","9.5","29-Jan-20"
"DEVIT","2.0999999999999943","29-Jan-20"
"DFMFOODS","28.899999999999977","29-Jan-20"
"DGCONTENT","0.20000000000000018","29-Jan-20"
"DHAMPURSUG","11.350000000000023","29-Jan-20"
"DHANBANK","0.5499999999999989","29-Jan-20"
"DHANUKA","51.85000000000002","29-Jan-20"
"DHARSUGAR","0.5499999999999998","29-Jan-20"
"DHFL","0.8499999999999996","29-Jan-20"
"DHFL","0.0","29-Jan-20"
"DHFL","10.0","29-Jan-20"
"DHFL","15.0","29-Jan-20"
"DHFL","1.0","29-Jan-20"
"DHFL","15.0","29-Jan-20"
"DHFL","25.060000000000002","29-Jan-20"
"DHFL","2.0","29-Jan-20"
"DHFL","0.09999999999999432","29-Jan-20"
"DHFL","3.0","29-Jan-20"
"DHFL","0.0","29-Jan-20"
"DHUNINV","23.899999999999977","29-Jan-20"
"DIAMONDYD","23.65000000000009","29-Jan-20"
"DIAPOWER","0.09999999999999998","29-Jan-20"
"DICIND","24.75","29-Jan-20"
"DIGISPICE","0.34999999999999964","29-Jan-20"
"DIGJAMLTD","0.09999999999999998","29-Jan-20"
"DISHTV","1.3499999999999996","29-Jan-20"
"DIVISLAB","58.350000000000136","29-Jan-20"
"DIXON","247.55000000000018","29-Jan-20"
"DLF","5.150000000000034","29-Jan-20"
"DLINKINDIA","3.5","29-Jan-20"
"DMART","56.25","29-Jan-20"
"DNAMEDIA","0.04999999999999999","29-Jan-20"
"DOLAT","2.700000000000003","29-Jan-20"
"DOLLAR","7.099999999999994","29-Jan-20"
"DONEAR","1.5","29-Jan-20"
"DPSCLTD","0.5499999999999998","29-Jan-20"
"DPWIRES","4.400000000000006","29-Jan-20"
"DQE","0.0","29-Jan-20"
"DREDGECORP","8.700000000000045","29-Jan-20"
"DRREDDY","102.65000000000009","29-Jan-20"
"DSML","0.04999999999999982","29-Jan-20"
"DSSL","1.6000000000000014","29-Jan-20"
"DTIL","4.199999999999989","29-Jan-20"
"DUCON","0.2999999999999998","29-Jan-20"
"DVL","2.6500000000000057","29-Jan-20"
"DWARKESH","2.5","29-Jan-20"
"DYNAMATECH","62.700000000000045","29-Jan-20"
"DYNPRO","6.949999999999989","29-Jan-20"
"E2E","0.0","29-Jan-20"
"EASTSILK","0.09999999999999998","29-Jan-20"
"EASUNREYRL","0.1499999999999999","29-Jan-20"
"EBBETF0423","0.8899999999999864","29-Jan-20"
"EBBETF0430","1.82000000000005","29-Jan-20"
"EC2RG","0.14999999999999947","29-Jan-20"
"ECLERX","15.100000000000023","29-Jan-20"
"ECLFINANCE","12.5","29-Jan-20"
"ECLFINANCE","27.0","29-Jan-20"
"ECLFINANCE","6.0","29-Jan-20"
"ECLFINANCE","10.0","29-Jan-20"
"ECLFINANCE","30.0","29-Jan-20"
"ECLFINANCE","11.0","29-Jan-20"
"ECLFINANCE","57.0","29-Jan-20"
"ECLFINANCE","84.89999999999998","29-Jan-20"
"ECLFINANCE","0.0","29-Jan-20"
"ECLFINANCE","0.0","29-Jan-20"
"ECLFINANCE","0.0","29-Jan-20"
"ECLFINANCE","0.0","29-Jan-20"
"ECLFINANCE","0.0","29-Jan-20"
"ECLFINANCE","110.0","29-Jan-20"
"ECLFINANCE","13.980000000000018","29-Jan-20"
"ECLFINANCE","6.0","29-Jan-20"
"ECLFINANCE","39.0","29-Jan-20"
"ECLFINANCE","24.0","29-Jan-20"
"EDELWEISS","4.300000000000011","29-Jan-20"
"EDL","0.20000000000000018","29-Jan-20"
"EDUCOMP","0.09999999999999987","29-Jan-20"
"EHFLNCD","3.009999999999991","29-Jan-20"
"EICHERMOT","1136.0","29-Jan-20"
"EIDPARRY","5.900000000000006","29-Jan-20"
"EIFFL","0.5","29-Jan-20"
"EIHAHOTELS","7.550000000000011","29-Jan-20"
"EIHOTEL","2.25","29-Jan-20"
"EIMCOELECO","15.100000000000023","29-Jan-20"
"EKC","1.0","29-Jan-20"
"ELECON","1.2000000000000028","29-Jan-20"
"ELECTCAST","0.75","29-Jan-20"
"ELECTHERM","2.0","29-Jan-20"
"ELGIEQUIP","8.550000000000011","29-Jan-20"
"ELGIRUBCO","0.7999999999999972","29-Jan-20"
"EMAMILTD","8.350000000000023","29-Jan-20"
"EMAMIPAP","0.0","29-Jan-20"
"EMAMIREAL","1.0999999999999943","29-Jan-20"
"EMBASSY","7.07000000000005","29-Jan-20"
"EMCO","0.09999999999999998","29-Jan-20"
"EMKAY","3.549999999999997","29-Jan-20"
"EMKAYTOOLS","0.0","29-Jan-20"
"EMMBI","2.3999999999999915","29-Jan-20"
"EMOFSR1RDP","0.019999999999999574","29-Jan-20"
"EMOFSR1RGG","0.11000000000000121","29-Jan-20"
"ENDURANCE","59.75","29-Jan-20"
"ENERGYDEV","0.20000000000000018","29-Jan-20"
"ENGINERSIN","2.9000000000000057","29-Jan-20"
"ENIL","11.100000000000023","29-Jan-20"
"EON","0.5500000000000007","29-Jan-20"
"EQ30","10.899999999999977","29-Jan-20"
"EQUITAS","3.299999999999997","29-Jan-20"
"ERFLNCDI","18.0","29-Jan-20"
"ERFLNCDI","9.799999999999955","29-Jan-20"
"ERFLNCDI","0.0","29-Jan-20"
"ERFLNCDI","8.009999999999991","29-Jan-20"
"ERIS","45.5","29-Jan-20"
"EROSMEDIA","0.34999999999999964","29-Jan-20"
"ESABINDIA","94.79999999999995","29-Jan-20"
"ESCORTS","30.799999999999955","29-Jan-20"
"ESSARSHPNG","0.5499999999999998","29-Jan-20"
"ESSELPACK","10.849999999999994","29-Jan-20"
"ESTER","0.8999999999999986","29-Jan-20"
"EUROCERA","0.04999999999999999","29-Jan-20"
"EUROMULTI","0.10000000000000003","29-Jan-20"
"EUROTEXIND","0.3500000000000014","29-Jan-20"
"EVEREADY","1.0500000000000043","29-Jan-20"
"EVERESTIND","18.5","29-Jan-20"
"EXCEL","0.09999999999999987","29-Jan-20"
"EXCELINDUS","16.899999999999977","29-Jan-20"
"EXIDEIND","3.200000000000017","29-Jan-20"
"EXPLEOSOL","15.399999999999977","29-Jan-20"
"FACT","2.6999999999999957","29-Jan-20"
"FAIRCHEM","23.80000000000001","29-Jan-20"
"FCL","0.7999999999999972","29-Jan-20"
"FCONSUMER","0.7000000000000028","29-Jan-20"
"FCSSOFT","0.04999999999999999","29-Jan-20"
"FDC","3.5","29-Jan-20"
"FEDERALBNK","1.7999999999999972","29-Jan-20"
"FEL","0.8999999999999986","29-Jan-20"
"FELDVR","0.9499999999999993","29-Jan-20"
"FIEMIND","11.099999999999966","29-Jan-20"
"FILATEX","0.5499999999999972","29-Jan-20"
"FINCABLES","14.800000000000011","29-Jan-20"
"FINEORG","164.5999999999999","29-Jan-20"
"FINPIPE","23.899999999999977","29-Jan-20"
"FLEXITUFF","0.6500000000000004","29-Jan-20"
"FLFL","5.349999999999966","29-Jan-20"
